" Spectrum" ," Sample" ," User" ," Live time" ," Real time" ," Excitation" ," Throughput" ," Sn-Ka Chi2" ," Sn-Ka Area" ," Sn-Ka AreaStd" ," Sn-Ka cps" ," Sn-Ka cpsStd" 
ZH19-35!0!0! 450.0!2019-09-11!02-32-07!50!50!2000!450.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 450.0,450.0,50,86,XRay Tube Generator,1.09E+05,300.0,455887,709,9117.74,14.18
ZH19-35!0!0! 455.0!2019-09-11!02-33-42!50!50!2000!455.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 455.0,455.0,50,86,XRay Tube Generator,1.09E+05,286.8,455216,708,9104.31,14.17
ZH19-35!0!0! 460.0!2019-09-11!02-35-16!50!50!2000!460.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 460.0,460.0,50,85,XRay Tube Generator,1.08E+05,306.4,454442,708,9088.84,14.16
ZH19-35!0!0! 465.0!2019-09-11!02-36-50!50!50!2000!465.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 465.0,465.0,50,85,XRay Tube Generator,1.08E+05,288.9,453422,707,9068.45,14.13
ZH19-35!0!0! 470.0!2019-09-11!02-38-24!50!50!2000!470.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 470.0,470.0,50,85,XRay Tube Generator,1.08E+05,301.2,453385,707,9067.71,14.13
ZH19-35!0!0! 475.0!2019-09-11!02-39-57!50!50!2000!475.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 475.0,475.0,50,85,XRay Tube Generator,1.08E+05,302.3,452757,707,9055.15,14.13
ZH19-35!0!0! 480.0!2019-09-11!02-41-31!50!50!2000!480.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 480.0,480.0,50,86,XRay Tube Generator,1.08E+05,299.1,452915,707,9058.30,14.13
ZH19-35!0!0! 485.0!2019-09-11!02-43-05!50!50!2000!485.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 485.0,485.0,50,85,XRay Tube Generator,1.08E+05,232.1,453456,707,9069.12,14.13
ZH19-35!0!0! 490.0!2019-09-11!02-44-38!50!50!2000!490.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 490.0,490.0,50,86,XRay Tube Generator,1.08E+05,291.1,452217,706,9044.34,14.13
ZH19-35!0!0! 495.0!2019-09-11!02-46-12!50!50!2000!495.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 495.0,495.0,50,86,XRay Tube Generator,1.08E+05,302.5,452164,706,9043.28,14.12
ZH19-35!0!0! 500.0!2019-09-11!02-47-46!50!50!2000!500.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 500.0,500.0,50,85,XRay Tube Generator,1.08E+05,233.4,450904,705,9018.09,14.10
ZH19-35!0!0! 505.0!2019-09-11!02-49-20!50!50!2000!505.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 505.0,505.0,50,85,XRay Tube Generator,1.08E+05,277.5,451844,706,9036.89,14.11
ZH19-35!0!0! 510.0!2019-09-11!02-50-54!50!50!2000!510.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 510.0,510.0,50,85,XRay Tube Generator,1.08E+05,231.6,452330,705,9046.61,14.11
ZH19-35!0!0! 515.0!2019-09-11!02-52-29!50!50!2000!515.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 515.0,515.0,50,85,XRay Tube Generator,1.08E+05,298.6,451371,706,9027.43,14.11
ZH19-35!0!0! 520.0!2019-09-11!02-54-03!50!50!2000!520.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 520.0,520.0,50,85,XRay Tube Generator,1.08E+05,241.4,450338,704,9006.76,14.09
ZH19-35!0!0! 525.0!2019-09-11!02-55-37!50!50!2000!525.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 525.0,525.0,50,85,XRay Tube Generator,1.08E+05,294.2,451295,705,9025.91,14.11
ZH19-35!0!0! 530.0!2019-09-11!02-57-11!50!50!2000!530.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 530.0,530.0,50,85,XRay Tube Generator,1.08E+05,307.3,450912,705,9018.25,14.10
ZH19-35!0!0! 535.0!2019-09-11!02-58-45!50!50!2000!535.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 535.0,535.0,50,85,XRay Tube Generator,1.08E+05,232.2,451479,705,9029.59,14.11
ZH19-35!0!0! 540.0!2019-09-11!03-00-19!50!50!2000!540.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 540.0,540.0,50,85,XRay Tube Generator,1.08E+05,288.9,452379,706,9047.58,14.12
ZH19-35!0!0! 545.0!2019-09-11!03-01-53!50!50!2000!545.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 545.0,545.0,50,85,XRay Tube Generator,1.08E+05,236.5,452239,705,9044.78,14.11
ZH19-35!0!0! 550.0!2019-09-11!03-03-27!50!50!2000!550.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 550.0,550.0,50,85,XRay Tube Generator,1.08E+05,297.7,449687,704,8993.74,14.08
ZH19-35!0!0! 555.0!2019-09-11!03-05-00!50!50!2000!555.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 555.0,555.0,50,85,XRay Tube Generator,1.08E+05,237.4,450441,704,9008.82,14.08
ZH19-35!0!0! 560.0!2019-09-11!03-06-34!50!50!2000!560.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 560.0,560.0,50,85,XRay Tube Generator,1.08E+05,289.7,450430,705,9008.59,14.10
ZH19-35!0!0! 565.0!2019-09-11!03-08-08!50!50!2000!565.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 565.0,565.0,50,85,XRay Tube Generator,1.08E+05,234.2,449679,704,8993.59,14.07
ZH19-35!0!0! 570.0!2019-09-11!03-09-42!50!50!2000!570.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 570.0,570.0,50,85,XRay Tube Generator,1.08E+05,292.7,451371,706,9027.43,14.11
ZH19-35!0!0! 575.0!2019-09-11!03-11-18!50!50!2000!575.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 575.0,575.0,50,85,XRay Tube Generator,1.08E+05,293.7,451159,705,9023.18,14.11
ZH19-35!0!0! 580.0!2019-09-11!03-12-52!50!50!2000!580.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 580.0,580.0,50,85,XRay Tube Generator,1.08E+05,238.3,449926,704,8998.53,14.08
ZH19-35!0!0! 585.0!2019-09-11!03-14-26!50!50!2000!585.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 585.0,585.0,50,85,XRay Tube Generator,1.08E+05,300.2,451260,705,9025.19,14.10
ZH19-35!0!0! 590.0!2019-09-11!03-16-00!50!50!2000!590.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 590.0,590.0,50,85,XRay Tube Generator,1.08E+05,296.3,449823,704,8996.45,14.08
ZH19-35!0!0! 595.0!2019-09-11!03-17-34!50!50!2000!595.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 595.0,595.0,50,85,XRay Tube Generator,1.08E+05,295.8,452136,705,9042.73,14.10
ZH19-35!0!0! 600.0!2019-09-11!03-19-08!50!50!2000!600.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 600.0,600.0,50,85,XRay Tube Generator,1.08E+05,291.0,451801,705,9036.02,14.10
ZH19-35!0!0! 605.0!2019-09-11!03-20-41!50!50!2000!605.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 605.0,605.0,50,85,XRay Tube Generator,1.07E+05,296.5,450546,704,9010.93,14.09
ZH19-35!0!0! 610.0!2019-09-11!03-22-15!50!50!2000!610.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 610.0,610.0,50,85,XRay Tube Generator,1.07E+05,298.9,450827,704,9016.53,14.09
ZH19-35!0!0! 615.0!2019-09-11!03-23-49!50!50!2000!615.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 615.0,615.0,50,85,XRay Tube Generator,1.07E+05,284.1,450941,705,9018.82,14.09
ZH19-35!0!0! 620.0!2019-09-11!03-25-23!50!50!2000!620.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 620.0,620.0,50,85,XRay Tube Generator,1.07E+05,309.0,449085,704,8981.70,14.07
ZH19-35!0!0! 625.0!2019-09-11!03-26-56!50!50!2000!625.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 625.0,625.0,50,85,XRay Tube Generator,1.07E+05,292.3,450773,705,9015.46,14.09
ZH19-35!0!0! 630.0!2019-09-11!03-28-30!50!50!2000!630.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 630.0,630.0,50,85,XRay Tube Generator,1.07E+05,242.4,451391,705,9027.81,14.09
ZH19-35!0!0! 635.0!2019-09-11!03-30-05!50!50!2000!635.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 635.0,635.0,50,85,XRay Tube Generator,1.07E+05,304.7,450562,705,9011.24,14.10
ZH19-35!0!0! 640.0!2019-09-11!03-31-39!50!50!2000!640.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 640.0,640.0,50,85,XRay Tube Generator,1.07E+05,296.2,448701,703,8974.02,14.06
ZH19-35!0!0! 645.0!2019-09-11!03-33-14!50!50!2000!645.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 645.0,645.0,50,85,XRay Tube Generator,1.07E+05,293.1,448533,703,8970.67,14.06
ZH19-35!0!0! 650.0!2019-09-11!03-34-48!50!50!2000!650.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 650.0,650.0,50,85,XRay Tube Generator,1.07E+05,296.0,447874,702,8957.48,14.04
ZH19-35!0!0! 655.0!2019-09-11!03-36-22!50!50!2000!655.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 655.0,655.0,50,85,XRay Tube Generator,1.07E+05,292.4,447321,702,8946.41,14.04
ZH19-35!0!0! 660.0!2019-09-11!03-37-56!50!50!2000!660.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 660.0,660.0,50,85,XRay Tube Generator,1.07E+05,294.0,448203,703,8964.05,14.06
ZH19-35!0!0! 665.0!2019-09-11!03-39-31!50!50!2000!665.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 665.0,665.0,50,85,XRay Tube Generator,1.07E+05,237.7,448317,702,8966.34,14.05
ZH19-35!0!0! 670.0!2019-09-11!03-41-05!50!50!2000!670.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 670.0,670.0,50,85,XRay Tube Generator,1.07E+05,292.0,447716,702,8954.32,14.05
ZH19-35!0!0! 675.0!2019-09-11!03-42-39!50!50!2000!675.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 675.0,675.0,50,85,XRay Tube Generator,1.07E+05,294.7,449034,703,8980.68,14.07
ZH19-35!0!0! 680.0!2019-09-11!03-44-12!50!50!2000!680.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 680.0,680.0,50,85,XRay Tube Generator,1.07E+05,292.2,448786,704,8975.72,14.07
ZH19-35!0!0! 685.0!2019-09-11!03-45-48!50!50!2000!685.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 685.0,685.0,50,85,XRay Tube Generator,1.07E+05,295.5,452853,706,9057.06,14.12
ZH19-35!0!0! 690.0!2019-09-11!03-47-22!50!50!2000!690.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 690.0,690.0,50,85,XRay Tube Generator,1.07E+05,294.7,451737,705,9034.74,14.10
ZH19-35!0!0! 695.0!2019-09-11!03-48-55!50!50!2000!695.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 695.0,695.0,50,85,XRay Tube Generator,1.07E+05,295.5,449468,703,8989.35,14.07
ZH19-35!0!0! 700.0!2019-09-11!03-50-31!50!50!2000!700.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 700.0,700.0,50,85,XRay Tube Generator,1.07E+05,240.9,450766,704,9015.31,14.09
ZH19-35!0!0! 705.0!2019-09-11!03-52-05!50!50!2000!705.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 705.0,705.0,50,85,XRay Tube Generator,1.07E+05,304.0,451283,706,9025.65,14.11
ZH19-35!0!0! 710.0!2019-09-11!03-53-40!50!50!2000!710.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 710.0,710.0,50,85,XRay Tube Generator,1.08E+05,298.6,452656,706,9053.11,14.13
ZH19-35!0!0! 715.0!2019-09-11!03-55-14!50!50!2000!715.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 715.0,715.0,50,85,XRay Tube Generator,1.08E+05,239.6,453822,706,9076.44,14.12
ZH19-35!0!0! 720.0!2019-09-11!03-56-48!50!50!2000!720.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 720.0,720.0,50,85,XRay Tube Generator,1.08E+05,297.6,454715,707,9094.30,14.15
ZH19-35!0!0! 725.0!2019-09-11!03-58-22!50!50!2000!725.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 725.0,725.0,50,85,XRay Tube Generator,1.08E+05,296.7,455380,708,9107.60,14.16
ZH19-35!0!0! 730.0!2019-09-11!03-59-55!50!50!2000!730.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 730.0,730.0,50,85,XRay Tube Generator,1.08E+05,306.4,452834,707,9056.68,14.13
ZH19-35!0!0! 735.0!2019-09-11!04-01-29!50!50!2000!735.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 735.0,735.0,50,85,XRay Tube Generator,1.08E+05,236.4,453768,706,9075.36,14.12
ZH19-35!0!0! 740.0!2019-09-11!04-03-04!50!50!2000!740.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 740.0,740.0,50,85,XRay Tube Generator,1.08E+05,310.3,453095,707,9061.90,14.13
ZH19-35!0!0! 745.0!2019-09-11!04-04-37!50!50!2000!745.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 745.0,745.0,50,85,XRay Tube Generator,1.08E+05,235.2,453888,707,9077.75,14.14
ZH19-35!0!0! 750.0!2019-09-11!04-06-12!50!50!2000!750.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 750.0,750.0,50,85,XRay Tube Generator,1.08E+05,291.3,454511,707,9090.22,14.15
ZH19-35!0!0! 755.0!2019-09-11!04-07-46!50!50!2000!755.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 755.0,755.0,50,85,XRay Tube Generator,1.08E+05,231.8,453692,706,9073.85,14.12
ZH19-35!0!0! 760.0!2019-09-11!04-09-20!50!50!2000!760.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 760.0,760.0,50,85,XRay Tube Generator,1.08E+05,294.4,453065,707,9061.29,14.14
ZH19-35!0!0! 765.0!2019-09-11!04-10-54!50!50!2000!765.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 765.0,765.0,50,85,XRay Tube Generator,1.08E+05,289.8,453979,707,9079.59,14.14
ZH19-35!0!0! 770.0!2019-09-11!04-12-29!50!50!2000!770.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 770.0,770.0,50,85,XRay Tube Generator,1.08E+05,296.4,453351,707,9067.02,14.14
ZH19-35!0!0! 775.0!2019-09-11!04-14-03!50!50!2000!775.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 775.0,775.0,50,85,XRay Tube Generator,1.08E+05,291.2,453731,707,9074.62,14.13
ZH19-35!0!0! 780.0!2019-09-11!04-15-39!50!50!2000!780.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 780.0,780.0,50,85,XRay Tube Generator,1.08E+05,288.4,454714,708,9094.27,14.16
ZH19-35!0!0! 785.0!2019-09-11!04-17-13!50!50!2000!785.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 785.0,785.0,50,85,XRay Tube Generator,1.08E+05,243.7,455523,708,9110.46,14.15
ZH19-35!0!0! 790.0!2019-09-11!04-18-47!50!50!2000!790.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 790.0,790.0,50,85,XRay Tube Generator,1.08E+05,308.7,453558,707,9071.16,14.14
ZH19-35!0!0! 795.0!2019-09-11!04-20-21!50!50!2000!795.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 795.0,795.0,50,85,XRay Tube Generator,1.08E+05,295.6,452726,706,9054.53,14.12
ZH19-35!0!0! 800.0!2019-09-11!04-21-55!50!50!2000!800.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 800.0,800.0,50,85,XRay Tube Generator,1.08E+05,234.6,452590,705,9051.80,14.11
ZH19-35!0!0! 805.0!2019-09-11!04-23-29!50!50!2000!805.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 805.0,805.0,50,85,XRay Tube Generator,1.08E+05,297.1,452966,707,9059.31,14.13
ZH19-35!0!0! 810.0!2019-09-11!04-25-03!50!50!2000!810.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 810.0,810.0,50,85,XRay Tube Generator,1.07E+05,298.4,451517,705,9030.35,14.10
ZH19-35!0!0! 815.0!2019-09-11!04-26-36!50!50!2000!815.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 815.0,815.0,50,85,XRay Tube Generator,1.07E+05,293.7,451668,706,9033.36,14.11
ZH19-35!0!0! 820.0!2019-09-11!04-28-10!50!50!2000!820.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 820.0,820.0,50,85,XRay Tube Generator,1.07E+05,295.4,452752,706,9055.04,14.12
ZH19-35!0!0! 825.0!2019-09-11!04-29-44!50!50!2000!825.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 825.0,825.0,50,85,XRay Tube Generator,1.07E+05,244.3,451045,705,9020.89,14.09
ZH19-35!0!0! 830.0!2019-09-11!04-31-18!50!50!2000!830.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 830.0,830.0,50,85,XRay Tube Generator,1.08E+05,298.3,451421,705,9028.43,14.10
ZH19-35!0!0! 835.0!2019-09-11!04-32-52!50!50!2000!835.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 835.0,835.0,50,85,XRay Tube Generator,1.08E+05,238.4,453309,706,9066.17,14.12
ZH19-35!0!0! 840.0!2019-09-11!04-34-26!50!50!2000!840.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 840.0,840.0,50,85,XRay Tube Generator,1.07E+05,291.3,448531,703,8970.62,14.06
ZH19-35!0!0! 845.0!2019-09-11!04-35-57!50!50!2000!845.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 845.0,845.0,50,85,XRay Tube Generator,1.07E+05,297.4,446442,701,8928.85,14.02
ZH19-35!0!0! 850.0!2019-09-11!04-37-31!50!50!2000!850.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 850.0,850.0,50,85,XRay Tube Generator,1.06E+05,288.8,447208,702,8944.17,14.03
ZH19-35!0!0! 855.0!2019-09-11!04-39-03!50!50!2000!855.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 855.0,855.0,50,84,XRay Tube Generator,1.06E+05,290.0,445546,701,8910.92,14.02
ZH19-35!0!0! 860.0!2019-09-11!04-40-34!50!50!2000!860.0!0.0!Cu!5.0!12.0!Run3!Rep0!Sett High.spe, 860.0,860.0,50,84,XRay Tube Generator,1.06E+05,292.2,445499,700,8909.98,14.00
